questionId,question,answer,type,block
CO_27,מה היה הסינגל הראשון שהוציא אלביס פרסלי?,That's All Right,not useful,general
CO_28,"באיזה מחזה נכתב: ""הן יולדות רכובות על קבר, האור מנצנץ להרף-עין ואחר כך זה שוב לילה""?",מחכים לגודו,not useful,general
CO_29,מה הם תרפים?,פסלונים של אלילי-בית בעת העתיקה,not useful,general
CO_30,מי הושבע לנשיא ארצות הברית עם מותו של פרנקלין רוזוולט?,הארי טרומן,not useful,general
CO_31,"איזו דמות מקראית אמרה: ""למה לא מרחם אמות, מבטן יצאתי ואגווע""?",איוב,not useful,general
CO_32,מי היו הפלבאים?,האזרחים החופשיים ברומא העתיקה שלא היו בני המעמד העליון (פטריקים),not useful,general
CO_33,מה זה זיבורית?,אדמה גרועה,not useful,general
CO_34,"איזה גוף משטרתי מכונה ""סקוטלנד יארד""?",המפקדה של המשטרה המטרופוליטנית של לונדון,not useful,general
CO_35,"במשחק הווידיאו ""האחים סופר מריו"", מה מקצועו של מריו?",שרברב,not useful,general
CO_36,ממה נגזר שמו הפרטי של איש התקשורת רזי ברקאי?,משמו המקורי: ראובן זאב,not useful,general
CO_37,באיזה שם במה התפרסם אריך וייס?,הארי הודיני,not useful,general
CO_38,מהי בירת אסטוניה?,טאלין,not useful,general
CO_39,איזה השקעה משתלמת יותר - מניות או נדל״ן?,"לאורך 150 השנה האחרונות נדל״ן השתלם יותר, אם משכירים אותו",useful,general
CO_40,כמה זמן לפני נסיעה הכי כדאי לרכוש כרטיסי טיסה?,בין 105 ל-54 יום לפני הנסיעה,useful,general
CO_41,איפה בסופר מוצבים בדרך כלל הפריטים הזולים יותר?,מתחת לגובה העיניים,useful,general
CO_42,"חוץ משוקולד, איזה מזונות מסוכנים לכלבים?","ענבים או צימוקים, בצל ואבוקדו",useful,general
CO_43,איך לקרר משקאות במהירות?,לעטוף את הבקבוק או הפחית במגבת נייר רטובה ולהכניס למקרר,useful,general
CO_44,איזה חטיף פופולרי יעיל כחומר להדלקת אש?,דוריטוס,useful,general
CO_45,איך בעלי שיער ארוך יכולים לעשות תספורת מדורגת לעצמם?,"קושרים קוקו בקדמת הראש, וגוזרים אותו",useful,general
CO_46,איזה מרכיב ברוטב לסלט הוא גם קוטל עשבים יעיל?,חומץ,useful,general
CO_47,אילו שיטות עובדות כדי לבשל שעועית מהר?,"להוסיף סודה לשתייה, להשרות מראש, או להשתמש בסיר לחץ",useful,general
CO_48,איך אפשר לדעת אם בטריה ריקה בלי להשתמש באף כלי עבודה?,"מפילים את הבטריה מגובה 7 ס״מ. אם היא קופצת, היא ריקה",useful,general
CO_49,מתי יהיה ליקוי החמה המלא הבא באזורנו?,2 באוגוסט 2027,useful,general
CO_50,לאיזה פרי תכולת ויטמין C הגבוהה ביותר?,"קאמו קאמו, פרי ברזילאי הדומה לדובדבן",useful,general
CO_51,איזה פרי טרופי אפשר לגדל מהשאריות שלו?,אננס - שותלים את העלים הירוקים,useful,general
CO_52,"באיזה חומר אפשר להשתמש במקום מרכך כביסה, ולהסרת ריחות?",חומץ לבן,useful,general
CO_53,איך אפשר להפוך נעלי בד לאטומות למים בקלות?,"מורחים אותן בשעוות דבורים, ומפעילים עליהן מייבש שיער עד שהשעווה נספגת",useful,general
CO_54,איך לחייך חיוך אותנטי כשמצטלמים?,לצמצם את העיניים,useful,general
CO_55,איזה ירק יכול למנוע משמשת הרכב לקפוא בחורף?,תפוח אדמה: משפשפים את השמשה בתפוח אדמה לפני גל הקור,useful,general
CO_56,איך אפשר לדעת אם ביצה מבושלת בלי לשבור אותה?,"מגלגלים אותה לאורך הצד הארוך שלה. אם היא נעצרת מיד, היא לא מבושלת",useful,general
CO_57,באיזה פריט שאפשר למצוא בכל רכב אפשר להשתמש כדי לחלץ מכונית מבוץ או חול?,בשטיחים של הרכב - להניח מתחת לגלגלים ליצירת חיכוך,useful,general
CO_58,איך מכבים שמן בוער?,"מונעים מהשריפה חמצן על ידי כיסוי או שפיכת סודה לשתייה אם האש קטנה, או שימוש במטף אם היא גדולה",useful,general
CO_59,איך אפשר לקצוץ בצל בלי לבכות?,"להקפיא לפני שקוצצים, או להחזיק פרוסת לחם בפה",useful,general
CO_60,איך אפשר לרכך סוכר חום שהתקשה לגוש?,להכניס למיקרוגל ליד כוס מים,useful,general
CO_61,איזה תכשיר קוסמטי יכול לעזור לפרום קשרים בקלות?,אבקת טלק - מפזרים על הקשר,useful,general
CO_62,מי פטור מתשלום דמי ביטוח לאומי?,"עקרות בית, מקבלי קצבת נכות, חיילים בשירות סדיר, וישראלים השוהים במדינות אחרות",useful,general
CO_63,מאיזה מחיר צריך לשלם מס על הזמנות מחו״ל?,$75,useful,general
CO_64,"באיזה חומר אפשר להשתמש במקום מרכך כביסה, ולהסרת ריחות?",2 באוגוסט 2027,useful,general
CO_65,איך אפשר להפוך נעלי בד לאטומות למים בקלות?,"קאמו קאמו, פרי ברזילאי הדומה לדובדבן",useful,general
CO_66,איך לחייך חיוך אותנטי כשמצטלמים?,אננס - שותלים את העלים הירוקים,useful,general
CO_67,איזה ירק יכול למנוע משמשת הרכב לקפוא בחורף?,חומץ לבן,useful,general
CO_68,איך אפשר לדעת אם ביצה מבושלת בלי לשבור אותה?,"מורחים אותן בשעוות דבורים, ומפעילים עליהן מייבש שיער עד שהשעווה נספגת",useful,general
CO_69,באיזה פריט שאפשר למצוא בכל רכב אפשר להשתמש כדי לחלץ מכונית מבוץ או חול?,לצמצם את העיניים,useful,general
CO_70,איך מכבים שמן בוער?,תפוח אדמה: משפשפים את השמשה בתפוח אדמה לפני גל הקור,useful,general
CO_71,איך אפשר לקצוץ בצל בלי לבכות?,"מגלגלים אותה לאורך הצד הארוך שלה. אם היא נעצרת מיד, היא לא מבושלת",useful,general
CO_72,איך אפשר לרכך סוכר חום שהתקשה לגוש?,בשטיחים של הרכב - להניח מתחת לגלגלים ליצירת חיכוך,useful,general
CO_73,איזה תכשיר קוסמטי יכול לעזור לפרום קשרים בקלות?,"מונעים מהשריפה חמצן על ידי כיסוי או שפיכת סודה לשתייה אם האש קטנה, או שימוש במטף אם היא גדולה",useful,general
CO_74,מי פטור מתשלום דמי ביטוח לאומי?,"להקפיא לפני שקוצצים, או להחזיק פרוסת לחם בפה",useful,general
CO_75,מאיזה מחיר צריך לשלם מס על הזמנות מחו״ל?,להכניס למיקרוגל ליד כוס מים,useful,general
